"No","Kode Saham","Nama Perusahaan","Remarks","Sebelumnya","Open Price","Tanggal Perdagangan Terakhir","First Trade","Tertinggi","Terendah","Penutupan","Selisih","Volume","Nilai","Frekuensi","Index Individual","Offer","Offer Volume","Bid","Bid Volume","Listed Shares","Tradeble Shares","Weight For Index","Foreign Sell","Foreign Buy","Non Regular Volume","Non Regular Value","Non Regular Frequency"
"906","WIIM","Wismilak Inti Makmur Tbk.","--S-1805000000D311------------","1125","0","26 Apr 2024","0","1125","1095","1100","-25","2048000","2257070500","627","169.2","1105","65200","1100","115000","2099873760","2099873760","669019780","765200","781900","0","0","0"
"907","WIKA","Wijaya Karya (Persero) Tbk.","XRU-1129006000J211------------","204","0","26 Apr 2024","0","0","0","204","0","0","0","0","61.7","0","0","0","0","39465566913","39465566913","19487957502","0","0","0","0","0"
"908","WINE","Hatten Bali Tbk.","--U-2105000000D211------------","308","0","26 Apr 2024","0","318","304","306","-2","100600","31078000","74","237.2","306","1700","304","700","2710000000","678000000","501892000","100","0","0","0","0"
"909","WINR","Winner Nusantara Jaya Tbk.","--U-4130000000H111---L-------X","12","0","26 Apr 2024","0","11","11","11","-1","452000","4972000","73","11","11","32676800","0","0","5235284786","5235284786","1499903784","0","0","0","0","0"
"910","WINS","Wintermar Offshore Marine Tbk.","--U-1135000000A132------------","480","0","26 Apr 2024","0","480","456","474","-6","5230900","2455976800","655","128.2","474","73200","468","500","4364337057","4364337057","1762755737","1215100","42000","0","0","0"
"911","WIRG","WIR ASIA Tbk.","--U-2135001000I131------------","94","0","26 Apr 2024","0","94","92","94","0","6517600","605001400","467","56","94","1385000","93","120000","11938622394","11938622394","7415078369","380000","0","0","0","0"
"912","WMPP","Widodo Makmur Perkasa Tbk.","--U-4105000000D231---L-------X","12","0","26 Apr 2024","0","11","11","11","-1","267300","2940300","36","6.9","11","22187000","0","0","29419000000","29391191875","9399370500","0","0","0","0","0"
"913","WMUU","Widodo Makmur Unggas Tbk.","--U-4130000000D231---L-------X","12","0","26 Apr 2024","0","11","11","11","-1","8422200","92644200","109","6.1","11","54096400","0","0","12941176500","12941176500","3931529421","0","0","0","0","0"
"914","WOMF","Wahana Ottomitra Multiartha Tbk.","XDU-1105000000G211------------","386","0","26 Apr 2024","0","386","370","380","-6","154100","58114800","55","57.6","380","13100","372","5100","3481481480","3481481480","261111111","500","60700","0","0","0"
"915","WOOD","Integra Indocabinet Tbk.","--S-1135000000E211------------","276","0","26 Apr 2024","0","278","272","274","-2","1157700","317681000","153","105.4","274","169900","272","461600","6437500000","6437500000","1863656250","13900","121200","0","0","0"
"916","WOWS","Ginting Jaya Energi Tbk.","--U-4130000000A132-----------X","12","0","26 Apr 2024","0","11","11","11","-1","7300400","80304400","114","2.4","11","17777200","0","0","2475720000","2475720000","1370063448","0","0","0","0","0"
"917","WSBP","Waskita Beton Precast Tbk.","--U-4105000000B121-E---------X","14","0","26 Apr 2024","0","15","15","15","1","7337600","110064000","177","3.1","0","0","15","193243200","54555721325","54555721325","31653229513","0","0","9","126","1"
"918","WSKT","Waskita Karya (Persero) Tbk.","--U-4105000000J211M----------X","202","0","26 Apr 2024","0","0","0","202","0","0","0","0","61.3","0","0","0","0","28806807016","28806807016","7100877929","0","0","0","0","0"
"919","WTON","Wijaya Karya Beton Tbk.","--S-1130050000B121------------","88","0","26 Apr 2024","0","89","86","87","-1","1155300","101015200","167","14.7","87","122300","86","162300","8715466600","8715466600","3399903521","3300","0","0","0","0"
"920","YELO","Yelooo Integra Datanet Tbk.","--U-4130000000E711---L-------X","12","0","26 Apr 2024","0","13","11","13","1","25837900","300611900","263","8.5","0","0","13","4640900","1912774405","1912774405","1677311876","0","0","0","0","0"
